HS2,HS2 Description,Rank,Country of Origin,BaselineShare,BaselineSharePct,Old Tariff,Old TariffPct
76,Articles of aluminum,7,Bahrain,0.03296650550153168,3.2966505501531675,0.27722891571986613,27.72289157198661
76,Articles of aluminum,8,Germany,0.029792366915955253,2.9792366915955255,0.2945005646608793,29.450056466087933
76,Articles of aluminum,9,Colombia,0.028888431696848318,2.8888431696848316,0.03801179068417412,3.8011790684174116
76,Articles of aluminum,10,Thailand,0.025616570149157743,2.5616570149157742,0.24682978936051253,24.682978936051253
82,Tools and cutlery,1,China,0.35909197130443227,35.909197130443225,0.39077174235166695,39.077174235166694
82,Tools and cutlery,2,Taiwan,0.1312976758777998,13.12976758777998,0.15815465426287664,15.815465426287664
82,Tools and cutlery,3,Germany,0.12119236450046594,12.119236450046595,0.11535553760441895,11.535553760441895
82,Tools and cutlery,4,Japan,0.0878551320142934,8.78551320142934,0.10428956552866123,10.428956552866122
82,Tools and cutlery,5,Mexico,0.06996732170817757,6.996732170817757,0.02549706096744495,2.549706096744495
82,Tools and cutlery,6,Vietnam,0.06374388274596463,6.374388274596463,0.15490290535264045,15.490290535264045
82,Tools and cutlery,7,"Korea, South",0.04797270375417024,4.797270375417024,0.09818713852834432,9.818713852834431
82,Tools and cutlery,8,Canada,0.043869991446581165,4.386999144658117,0.02817533244634391,2.817533244634391
82,Tools and cutlery,9,India,0.04056664834635798,4.056664834635798,0.2095611689157888,20.95611689157888
82,Tools and cutlery,10,Switzerland,0.034442308301757006,3.4442308301757008,0.14937191053302795,14.937191053302795
83,Miscellaneous articles of base metal,1,China,0.38403348217044697,38.403348217044694,0.4167851365533657,41.678513655336566
83,Miscellaneous articles of base metal,2,Mexico,0.2115050419770779,21.15050419770779,0.06148140884953764,6.148140884953764
83,Miscellaneous articles of base metal,3,Canada,0.1103357295336916,11.033572953369159,0.061623899173598264,6.162389917359826
83,Miscellaneous articles of base metal,4,Taiwan,0.09149728404257758,9.149728404257758,0.16523412194801973,16.523412194801974
83,Miscellaneous articles of base metal,5,"Korea, South",0.045796885971025804,4.579688597102581,0.1344704614997166,13.447046149971658
83,Miscellaneous articles of base metal,6,Vietnam,0.03775625685252402,3.7756256852524017,0.16924157574161516,16.924157574161516
83,Miscellaneous articles of base metal,7,India,0.03400638399092562,3.400638399092562,0.20159059106786592,20.159059106786593
83,Miscellaneous articles of base metal,8,Japan,0.03381959864591372,3.381959864591372,0.15640235902270355,15.640235902270355
83,Miscellaneous articles of base metal,9,Germany,0.03307270792332158,3.307270792332158,0.14845027358967422,14.845027358967421
83,Miscellaneous articles of base metal,10,Italy,0.01817662889249523,1.817662889249523,0.12662521123736215,12.662521123736214
84,Machinery and electrical equipment,1,Mexico,0.24345208435287635,24.345208435287635,0.02681260533585886,2.681260533585886
84,Machinery and electrical equipment,2,China,0.19642478040017275,19.642478040017274,0.3229616952423051,32.296169524230514
84,Machinery and electrical equipment,3,Taiwan,0.1427682328698059,14.276823286980589,0.006622219571889901,0.6622219571889901
84,Machinery and electrical equipment,4,Japan,0.08302841790081027,8.302841790081027,0.09855702806974347,9.855702806974346
84,Machinery and electrical equipment,5,Germany,0.07314517467036472,7.314517467036471,0.0938790387316419,9.38790387316419
84,Machinery and electrical equipment,6,Canada,0.0692524758415404,6.92524758415404,0.028275933618917077,2.8275933618917075
84,Machinery and electrical equipment,7,Vietnam,0.06219807677827723,6.219807677827723,0.018024933563023263,1.8024933563023264
84,Machinery and electrical equipment,8,"Korea, South",0.054752328792268636,5.475232879226864,0.05093966974283442,5.0939669742834415
84,Machinery and electrical equipment,9,Thailand,0.042456843150828004,4.2456843150828005,0.031416496232625664,3.1416496232625666
84,Machinery and electrical equipment,10,Italy,0.03252158524305566,3.2521585243055657,0.09153019603973715,9.153019603973716
